*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=circuitoMain2
*Date=18:29:46
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
112;;;84.9384;-168.867;0;Bottom;Via152
113;;THT;41.7585;-68.5372;0;Bottom;J4
114;;THT;10.0085;-59.6472;-90;Bottom;J1
115;;;224.639;-79.9672;0;Bottom;Via219
116;;THT;173.839;-68.5372;0;Bottom;J17
117;;;156.058;-234.907;0;Bottom;Via164
118;100;0402 [SMD];77.3185;-276.197;-90;Top;R42
119;;THT;133.199;-284.437;0;Bottom;J29
120;;THT;204.319;-68.5372;0;Bottom;J20
121;;;84.9384;-156.167;0;Bottom;Via153
122;;THT;153.519;-68.5372;0;Bottom;J15
123;;;31.5358;-82.2877;0;Bottom;Via278
124;100;0402 [SMD];82.3985;-75.5372;-90;Top;R8
125;;;163.678;-219.667;0;Bottom;Via144
126;;DIP16 [THT];116.689;-137.117;-90;Bottom;U6
127;100;0402 [SMD];291.329;-120.607;0;Top;R25
128;;TO92 [THT];69.508;-270.378;0;Bottom;Q41
129;;TO92 [THT];44.108;-90.0383;0;Bottom;Q3
130;;TO92 [THT];272.708;-227.198;-90;Bottom;Q13
131;100;0402 [SMD];222.099;-278.737;-90;Top;R53
132;;;166.218;-173.947;0;Bottom;Via98
133;100;0402 [SMD];171.299;-278.737;-90;Top;R48
134;;TO92 [THT];186.348;-272.918;0;Bottom;Q35
135;;;214.479;-79.9672;0;Bottom;Via220
136;100;0402 [SMD];291.329;-110.447;0;Top;R24
137;;TO92 [THT];94.908;-270.378;0;Bottom;Q28
138;;;54.4585;-295.867;0;Bottom;Via186
139;;THT;67.1585;-284.437;0;Bottom;J24
140;;THT;284.329;-143.467;-90;Bottom;J51
141;;THT;133.199;-68.5372;0;Bottom;J13
142;100;0402 [SMD];204.319;-75.5372;-90;Top;R20
143;;;295.759;-143.467;0;Bottom;Via252
144;;;194.158;-217.127;0;Bottom;Via124
145;;;277.979;-262.847;0;Bottom;Via43
146;100;0402 [SMD];291.329;-204.427;0;Top;R33
147;100;0402 [SMD];183.999;-278.737;-90;Top;R50
148;;;84.9384;-191.727;0;Bottom;Via151
149;;;234.903;-80.9498;0;Bottom;Via279
150;;;277.979;-189.187;0;Bottom;Via51
151;100;0402 [SMD];291.329;-270.467;0;Top;R38
152;;;183.999;-85.0472;0;Bottom;Via68
153;;THT;143.359;-68.5372;0;Bottom;J14
154;100;0402 [SMD];173.839;-75.5372;-90;Top;R17
155;;;158.599;-85.0472;0;Bottom;Via88
156;;;23.9785;-59.6472;0;Bottom;Via275
157;;THT;183.999;-284.437;0;Bottom;J33
158;;;26.5185;-85.0472;0;Bottom;Via100
159;;THT;23.9785;-68.5372;0;Bottom;J56
160;;;51.9185;-59.6472;0;Bottom;Via260
161;;;138.279;-85.0472;0;Bottom;Via87
162;100;0402 [SMD];16.3585;-75.5372;-90;Top;R2
163;;;36.6785;-85.0472;0;Bottom;Via83
164;;;277.979;-125.687;0;Bottom;Via58
165;;;295.934;-194.53;0;Bottom;Via247
166;;;67.1585;-85.0472;0;Bottom;Via101
167;;;295.759;-234.907;0;Bottom;Via243
168;;THT;242.419;-284.437;0;Bottom;J38
169;;;277.979;-158.707;0;Bottom;Via54
170;;;120.498;-227.287;0;Bottom;Via105
171;;;153.519;-59.6472;0;Bottom;Via270
172;100;0402 [SMD];242.419;-278.737;-90;Top;R55
173;100;0402 [SMD];291.329;-234.907;0;Top;R36
174;;;77.3185;-85.0472;0;Bottom;Via185
175;100;0402 [SMD];23.9785;-75.5372;-90;Top;R56
176;100;0402 [SMD];163.679;-75.5372;-90;Top;R16
177;;;239.879;-85.0472;0;Bottom;Via64
178;;THT;284.329;-257.767;-90;Bottom;J40
179;;;13.8081;-77.4377;0;Bottom;Via276
180;100;0402 [SMD];194.159;-75.5372;-90;Top;R19
181;;THT;284.329;-270.467;-90;Bottom;J39
