*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=circuitoMain3
*Date=23:11:34
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;TO92 [THT];248.28;-45.4886;0;Bottom;Q55
2;;TO92 [THT];248.559;-136.827;-90;Bottom;Q15
3;100;0402 [SMD];55.4303;-32.2274;-90;Top;R7
4;;;30.0302;-147.178;0;Bottom;Via108
5;;;75.7502;-190.358;0;Bottom;Via188
6;;;24.0245;-116.141;0;Bottom;TXT2
7;;;24.3776;-151.687;0;Bottom;TXT3
8;;;83.3702;-121.778;0;Bottom;Via300
9;;TO92 [THT];57.7798;-45.4886;0;Bottom;Q8
10;;;235.77;-20.1775;0;Bottom;Via257
11;;TO92 [THT];19.6798;-45.4886;0;Bottom;Q57
12;;;32.5702;-103.998;0;Bottom;Via17
13;;;136.697;-58.2471;0;Bottom;Via311
14;;;9.71024;-131.938;0;Bottom;Via284
15;;;68.1302;-129.398;0;Bottom;Via110
16;;TO92 [THT];200.02;-42.9486;0;Bottom;Q46
17;100;0402 [SMD];266.25;-32.2274;-90;Top;R23
18;;;78.2902;-35.4176;0;Bottom;Via231
19;;THT;285.3;-134.477;-90;Bottom;J45
20;;;151.95;-96.3776;0;Bottom;Via18
21;;THT;197.67;-181.467;0;Bottom;J37
22;;;73.2102;-114.158;0;Bottom;Via139
23;;;228.15;-10.0176;0;Bottom;Via11
24;;;141.79;-190.358;0;Bottom;Via194
25;100;0402 [SMD];55.4303;-177.007;-90;Top;R40
26;;THT;9.71025;-26.5275;0;Bottom;J2
27;;;207.83;-35.4176;0;Bottom;Via224
28;100;0402 [SMD];293.539;-101.457;0;Top;R29
29;;;146.87;-91.2976;0;Bottom;Via161
30;;;70.6702;-35.4176;0;Bottom;Via232
31;100;0402 [SMD];17.3303;-32.2274;-90;Top;R56
32;100;0402 [SMD];215.45;-32.2274;-90;Top;R18
33;;;197.67;-190.358;0;Bottom;Via202
34;100;0402 [SMD];197.67;-174.467;-90;Top;R54
35;;THT;245.93;-26.5275;0;Bottom;J21
36;100;0402 [SMD];225.61;-32.2274;-90;Top;R19
37;;;93.5302;-20.1776;0;Bottom;Via267
38;;TO92 [THT];27.2998;-45.4886;0;Bottom;Q45
39;;THT;256.09;-26.5275;0;Bottom;J22
40;;;296.731;-109.078;0;Bottom;Via249
41;;;9.71024;-20.1776;0;Bottom;Via258
42;;;141.79;-98.9176;0;Bottom;Via304
43;;;144.33;-78.5976;0;Bottom;Via133
44;100;0402 [SMD];9.71026;-32.2274;-90;Top;R2
45;;;24.9502;-35.4176;0;Bottom;Via278
46;;;296.731;-175.118;0;Bottom;Via241
47;;;278.951;-170.038;0;Bottom;Via44
48;;;202.75;-37.9575;0;Bottom;Via72
49;;;83.3702;-37.9576;0;Bottom;Via183
50;;TO92 [THT];50.1598;-45.4886;0;Bottom;Q59
51;;;78.2639;-129.374;0;Bottom;Via299
52;;THT;96.0703;-181.467;0;Bottom;J27
53;;;225.61;-20.1775;0;Bottom;Via274
54;;;144.362;-131.985;0;Bottom;Via286
55;;;32.5702;-91.2976;0;Bottom;Via148
56;;;32.5702;-20.1776;0;Bottom;Via259
57;;;63.0502;-35.4176;0;Bottom;Via233
58;;THT;78.2903;-26.5275;0;Bottom;J11
59;;;80.8302;-124.318;0;Bottom;Via118
60;;;215.45;-20.1775;0;Bottom;Via273
61;;;212.91;-37.9576;0;Bottom;Via68
62;;;131.63;-190.358;0;Bottom;Via193
63;;;73.2102;-103.998;0;Bottom;Via293
64;;;55.4302;-190.358;0;Bottom;Via186
65;;;65.5902;-134.478;0;Bottom;Via113
66;;;55.4302;-35.4176;0;Bottom;Via234
67;;DIP16 [THT];165.92;-112.887;180;Bottom;U3
68;100;0402 [SMD];164.65;-174.467;-90;Top;R51
69;;;73.2102;-129.398;0;Bottom;Via104
70;;THT;85.9103;-26.5275;0;Bottom;J12
71;;THT;285.3;-86.2175;-90;Bottom;J51
72;100;0402 [SMD];235.77;-32.2274;-90;Top;R20
73;;;63.0555;-129.374;0;Bottom;Via298
74;;THT;282.76;-164.957;-90;Bottom;J41
75;;;60.5102;-131.938;0;Bottom;Via14
76;;THT;131.63;-181.467;0;Bottom;J31
77;;;108.77;-35.4176;0;Bottom;Via227
78;;;85.9102;-35.4176;0;Bottom;Via230
79;;TO92 [THT];248.559;-88.567;-90;Bottom;Q23
80;;THT;285.3;-78.5975;-90;Bottom;J52
81;;TO92 [THT];248.559;-80.947;-90;Bottom;Q24
82;100;0402 [SMD];24.9503;-32.2274;-90;Top;R3
83;;;126.55;-190.358;0;Bottom;Via192
84;100;0402 [SMD];174.81;-174.467;-90;Top;R52
85;;;65.5902;-129.398;0;Bottom;Via114
86;;;45.2702;-88.7576;0;Bottom;Via20
87;;;251.01;-37.9576;0;Bottom;Via66
88;;;296.731;-142.098;0;Bottom;Via245
89;;;53.0888;-6.49431;0;Bottom;TXT6
90;100;0402 [SMD];40.1903;-32.2274;-90;Top;R5
91;;;68.1304;-83.6773;0;Bottom;Via175
92;;;296.731;-134.478;0;Bottom;Via246
93;;;47.8102;-20.1776;0;Bottom;Via261
94;;;9.71024;-121.778;0;Bottom;Via282
95;;;55.4302;-83.6776;0;Bottom;Via178
96;;;42.7302;-98.9176;0;Bottom;Via152
97;;;296.731;-116.698;0;Bottom;Via248
98;;TO92 [THT];223.159;-167.307;180;Bottom;Q20
99;;THT;285.3;-142.097;-90;Bottom;J44
100;;;296.731;-93.8376;0;Bottom;Via251
101;;;144.33;-103.998;0;Bottom;Via294
102;;THT;106.23;-181.467;0;Bottom;J28
103;;;37.6502;-147.178;0;Bottom;Via107
104;;;85.9102;-190.358;0;Bottom;Via189
105;;;157.03;-106.538;0;Bottom;Via170
106;100;0402 [SMD];116.39;-174.467;-90;Top;R46
107;;;9.66847;-35.4072;0;Bottom;Via276
108;;;164.65;-190.358;0;Bottom;Via198
109;;;197.67;-35.4175;0;Bottom;Via225
110;;TO92 [THT];248.559;-103.807;-90;Bottom;Q21
111;100;0402 [SMD];293.539;-63.3574;0;Top;R24
112;;;65.5902;-111.618;0;Bottom;Via116
113;;THT;24.9503;-26.5275;0;Bottom;J3
114;;;63.0502;-20.1776;0;Bottom;Via263
115;;;278.951;-147.178;0;Bottom;Via47
116;;;50.3502;-147.178;0;Bottom;Via40
117;;;131.63;-129.398;0;Bottom;Via164
118;;;139.25;-114.158;0;Bottom;Via144
119;;THT;70.6703;-26.5275;0;Bottom;J10
120;;;215.45;-35.4176;0;Bottom;Via223
121;;;278.951;-83.6776;0;Bottom;Via57
122;;;101.15;-35.4176;0;Bottom;Via228
123;;THT;108.77;-26.5275;0;Bottom;J14
124;;;88.4267;-68.4142;0;Bottom;Via312
125;100;0402 [SMD];293.539;-116.697;0;Top;R31
126;;TO92 [THT];187.32;-167.409;0;Bottom;Q38
127;;;278.951;-114.158;0;Bottom;Via52
128;100;0402 [SMD];131.63;-174.467;-90;Top;R49
129;;THT;282.76;-175.117;-90;Bottom;J40
130;;;157.03;-53.1976;0;Bottom;Via181
131;100;0402 [SMD];293.539;-175.118;0;Top;R39
132;;THT;40.1903;-26.5275;0;Bottom;J5
133;100;0402 [SMD];207.83;-32.2274;-90;Top;R17
134;;;278.951;-91.2976;0;Bottom;Via55
135;;;106.23;-190.358;0;Bottom;Via190
136;;TO92 [THT];238.12;-45.4886;0;Bottom;Q54
137;;;225.873;-187.998;0;Bottom;Via292
138;;THT;4.63025;-26.5275;0;Bottom;J1
139;;;98.6102;-37.9576;0;Bottom;Via86
140;;;126.54;-137.018;0;Bottom;Via285
141;100;0402 [SMD];293.539;-93.8374;0;Top;R28
142;;;144.298;-50.6455;0;Bottom;Via308
143;;TO92 [THT];268.6;-45.4886;0;Bottom;Q62
144;;TO92 [THT];34.9198;-45.4886;0;Bottom;Q3
145;;;225.61;-190.358;0;Bottom;Via203
146;;;40.1902;-20.1776;0;Bottom;Via260
147;;TO92 [THT];248.559;-65.707;-90;Bottom;Q26
148;;;278.951;-139.558;0;Bottom;Via50
149;;THT;32.5703;-26.5275;0;Bottom;J4
150;;;65.5902;-116.698;0;Bottom;Via115
151;;;52.8902;-37.9576;0;Bottom;Via101
152;;;40.1902;-35.4176;0;Bottom;Via236
153;;THT;285.3;-126.857;-90;Bottom;J46
154;;TO92 [THT];12.0598;-45.4886;0;Bottom;Q61
155;;;136.71;-73.5173;0;Bottom;Via172
156;;THT;151.95;-181.467;0;Bottom;J33
157;;;141.79;-124.318;0;Bottom;Via122
158;;;169.73;-73.5176;0;Bottom;Via130
159;;;235.77;-96.3776;0;Bottom;Via197
160;;;60.5102;-124.318;0;Bottom;Via117
161;;TO92 [THT];88.2598;-167.409;0;Bottom;Q28
162;;;184.97;-190.358;0;Bottom;Via201
163;;THT;65.5903;-181.467;0;Bottom;J24
164;100;0402 [SMD];106.23;-174.467;-90;Top;R45
165;;THT;207.83;-26.5275;0;Bottom;J17
166;;;106.23;-124.318;0;Bottom;Via120
167;;;256.09;-35.4176;0;Bottom;Via219
168;;TO92 [THT];217.8;-45.4886;0;Bottom;Q52
169;100;0402 [SMD];293.539;-70.9774;0;Top;R25
170;;;225.61;-35.4176;0;Bottom;Via222
171;100;0402 [SMD];75.7503;-177.007;-90;Top;R42
172;100;0402 [SMD];245.93;-32.2274;-90;Top;R21
173;;TO92 [THT];210.18;-45.4886;0;Bottom;Q50
174;;;266.25;-35.4176;0;Bottom;Via279
175;;;144.33;-119.238;0;Bottom;Via301
176;;;50.3502;-185.278;0;Bottom;Via41
177;100;0402 [SMD];151.95;-174.467;-90;Top;R50
178;;;266.25;-20.1775;0;Bottom;Via63
179;;;121.47;-37.9576;0;Bottom;Via88
180;;TO92 [THT];248.559;-111.427;-90;Bottom;Q18
181;;;139.25;-109.078;0;Bottom;Via142
182;100;0402 [SMD];126.55;-174.467;-90;Top;R47
183;;;278.951;-154.798;0;Bottom;Via46
184;;;136.71;-126.858;0;Bottom;Via150
185;;;296.731;-78.5976;0;Bottom;Via254
186;;TO92 [THT];118.74;-45.4886;0;Bottom;Q47
187;;THT;174.81;-181.467;0;Bottom;J35
188;;;136.71;-134.478;0;Bottom;Via149
189;;;75.7502;-37.9576;0;Bottom;Via184
190;;;134.17;-109.078;0;Bottom;Via303
191;;;47.8102;-35.4176;0;Bottom;Via235
192;;THT;164.65;-181.467;0;Bottom;J34
193;;THT;63.0503;-26.5275;0;Bottom;J8
194;;DIP16 [THT];69.4003;-143.367;90;Bottom;U1
195;;;63.0502;-93.8376;0;Bottom;Via137
196;;;32.5702;-35.4176;0;Bottom;Via237
197;;THT;285.3;-63.3575;-90;Bottom;J54
198;;;65.5902;-190.358;0;Bottom;Via187
199;;;30.0302;-37.9576;0;Bottom;Via83
200;;THT;55.4303;-181.467;0;Bottom;J23
201;100;0402 [SMD];93.5303;-32.2274;-90;Top;R12
202;;TO92 [THT];177.16;-167.409;0;Bottom;Q37
203;;THT;47.8103;-26.5275;0;Bottom;J6
204;;;68.1302;-134.478;0;Bottom;Via109
205;;;70.6702;-20.1776;0;Bottom;Via264
206;;TO92 [THT];98.4198;-167.409;0;Bottom;Q43
207;100;0402 [SMD];293.539;-157.337;0;Top;R36
208;;;37.6502;-93.8376;0;Bottom;Via138
209;;TO92 [THT];248.559;-129.207;-90;Bottom;Q16
210;;THT;285.3;-101.457;-90;Bottom;J50
211;;THT;285.3;-157.337;-90;Bottom;J42
212;;TO92 [THT];95.8798;-45.4886;0;Bottom;Q6
213;;;139.25;-121.778;0;Bottom;Via143
214;;;22.4102;-37.9576;0;Bottom;Via100
215;;;106.23;-147.178;0;Bottom;Via119
216;;THT;22.4103;-171.307;0;Bottom;J57
217;;;141.79;-134.478;0;Bottom;Via121
218;;TO92 [THT];212.72;-167.409;0;Bottom;Q40
219;100;0402 [SMD];293.539;-78.5974;0;Top;R26
220;;;220.53;-185.278;0;Bottom;Via42
221;;TO92 [THT];248.559;-152.067;-90;Bottom;Q13
222;;THT;285.3;-149.717;-90;Bottom;J43
223;;TO92 [THT];144.14;-167.409;0;Bottom;Q34
224;;;266.25;-103.998;0;Bottom;Via196
225;;;146.87;-116.698;0;Bottom;Via160
226;;;146.864;-63.3782;0;Bottom;Via309
227;100;0402 [SMD];70.6703;-32.2274;-90;Top;R9
228;;;210.37;-190.358;0;Bottom;Via199
229;;;32.5134;-109.099;0;Bottom;Via302
230;;;136.71;-86.2176;0;Bottom;Via128
231;;;113.85;-37.9576;0;Bottom;Via73
232;;;278.951;-162.418;0;Bottom;Via45
233;;;278.951;-185.278;0;Bottom;Via56
234;100;0402 [SMD];293.539;-164.957;0;Top;R37
235;;TO92 [THT];227.96;-45.4886;0;Bottom;Q49
236;;;65.5902;-83.6776;0;Bottom;Via177
237;;TO92 [THT];258.44;-45.4886;0;Bottom;Q56
238;;;146.87;-131.938;0;Bottom;Via287
239;;DIP16 [THT];165.92;-87.4875;180;Bottom;U4
